ID,Area,Feature,User Story,Expected Behaviour,Status,Notes
F36,Cards,50 карт / 39 kind,"Как игрок, я хочу разнообразные эффекты карт.","CATALOGUE: 50 карт, движок по kind в play_card; текст = реальный эффект.",OK,
F37,Cards,Истощение колоды,"Как игрок, я хочу риск при пустой колоде.","Пустая колода без сброса => −2 престижа за добор (fatigue).",OK,
F38,Cards,Перетасовка сброса,"Как игрок, я хочу повторно использовать сброс один раз.","Сброс перетасовывается в колоду один раз за партию (reshuffled).",OK,
F39,Status,Яд,"Как игрок, я хочу урон в обход брони (контр стены).","poison тикает в начале хода = стакам, игнорирует броню, −1 стак.",OK,
F40,Status,Кровотечение,"Как игрок, я хочу наказывать активную игру соперника.","bleed: −1 престижа за каждую сыгранную карту; −1 стак/ход.",OK,
F41,Status,Горение,"Как игрок, я хочу затухающий урон во времени.","burn тикает = стакам, затем стак уполовинивается.",OK,
F42,Status,Ослабление,"Как игрок, я хочу снижать урон соперника.","weaken: −1 к урону источника; −1 стак/ход.",OK,
F43,Status,Вдохновение,"Как игрок, я хочу бесплатный мощный ход.","inspiration: следующая карта стоит 0.",OK,
F44,Status,Благословение,"Как игрок, я хочу универсальный щит.","blessing поглощает следующий негативный статус ИЛИ инстанс урона.",OK,
F45,Status,Укрепление,"Как игрок, я хочу непробиваемую броню на ход.","fortified: break_armor не обнуляет броню.",OK,
F46,Houses,Медичи,"Как Медичи, я хочу выигрывать темпом и картами.","Экономика/темп; пассивка +2 флорина; реликвия Золотая книга; финишер condotta (флорины=>урон).",OK,Симулятор занижает (боты); добавлен win-condition condotta 15.7%->22%
F47,Houses,Борджиа,"Как Борджиа, я хочу убивать ядом сквозь броню.","Пассивка: первый урон/ход => +1 яд; реликвия удваивает яд.",OK,
F48,Houses,Сфорца,"Как Сфорца, я хочу держать стену и контратаковать.","Пассивка +1 броня/ход; реликвия Знамя: 4 брони => 4 урона.",OK,
F49,Houses,Эсте,"Как Эсте, я хочу взрывные ходы на Колесе.","Муза: благословлённые карты +2 и +1 престиж; реликвия Астролябия.",OK,
F50,Houses,Савонарола,"Как Савонарола, я хочу жертвовать своим ради всплесков.","Праведный гнев: пока отстаёшь — урон +2; реликвия Власяница; жертвенная колода.",OK,§13f CLAUDE.md
F51,Houses,Реликвии (5),"Как игрок, я хочу уникальную способность Дома.","use_relic: раз/ход (Борджиа — раз/игра); по дому своя механика.",OK,
F52,Actions,Долг Фортуне,"Как игрок, я хочу экстренные флорины ценой риска.","Кнопка «Долг»; недоступна повторно/не в свой ход.",OK,
F53,Actions,Реликвия,"Как игрок, я хочу активировать реликвию Дома.","Кнопка реликвии активна, когда готова; точная ошибка иначе.",OK,
F54,Actions,Завершить ход,"Как игрок, я хочу передать ход.","end_turn переключает активного, запускает start_turn соперника.",OK,
F55,Actions,Индикатор угрозы,"Как игрок, я хочу видеть, когда меня могут добить.","Бейдж «под угрозой» (DoT или карта соперника по карману добивает); только флаг, не карты.",OK,§13c CLAUDE.md
F56,Endgame,Победа/поражение,"Как игрок, я хочу честное определение исхода.","Престиж<=0 => phase=over, winner=соперник.",OK,
F57,Endgame,Экран итога,"Как игрок, я хочу понятный финал.","Оверлей «Победа/Поражение» + кнопка «Новая партия».",OK,
F58,Endgame,Новая партия / реванш,"Как игрок, я хочу сыграть снова без перезахода.","new_game сбрасывает состояние в лобби; ОБА клиента возвращаются в выбор.",FIXED,BUG-B: второй игрок застревал на экране итога — исправлено
F59,Audio,Музыка (3 трека),"Как игрок, я хочу атмосферную музыку двора.","3 классических трека; непрерывное воспроизведение между экранами (audio вне #stage).",OK,
F60,Audio,Док/селектор музыки,"Как игрок, я хочу управлять музыкой.","Селектор на входе; компактный док в игре; play/pause/next; «Трек не найден» при ошибке.",OK,
F61,Audio,Звуки боя (синтез),"Как игрок, я хочу отклик на события боя.","Web Audio синтез: удар/лечение/броня/монеты/Колесо/яд/благословение/победа.",OK,
F62,Audio,Тумблер звуков,"Как игрок, я хочу выключить звуки.","Кнопка-колокольчик переключает SFX.",OK,
F63,Visual,Динамические фоны,"Как игрок, я хочу живописный фон Возрождения.","Кроссфейд картин Met + Ken Burns; фолбэк BUILTIN_BG; притушение в игре.",OK,
F64,Visual,Обучение (7 шагов),"Как новичок, я хочу понять правила.","Tutorial: 7 шагов (цель, Колесо, флорины, карты+лимит, броня/угроза, Дома, Сострадание); авто при первом визите.",OK,
F65,Visual,Гербы Домов,"Как игрок, я хочу узнаваемую геральдику Дома.","HOUSE_CREST: инлайн-SVG в чернильном стиле для всех 5 Домов.",OK,
F66,Visual,Иллюстрации карт,"Как игрок, я хочу гравюрные иллюстрации карт.","CARD_ART + cardArtKey по kind/element/rarity; ink-фильтры.",OK,
F67,Visual,Колесо/лавры/завитки,"Как игрок, я хочу богатый рисованный антураж.","wheelSVG, laurelSVG, flourishSVG; анимации.",OK,
F68,Visual,Тёплая палитра / ink,"Как игрок, я хочу единый стиль иллюминированного манускрипта.","CSS-переменные тёплой палитры; синего нет; глобальные фильтры #inkG/#inkS.",OK,§9 CLAUDE.md
F69,Infra,WebSocket /ws,"Как игрок, я хочу мгновенную синхронизацию.","flask-sock; комнаты в памяти; STATE_LOCK защищает состояние.",OK,
F70,Infra,Серверо-авторитетность,"Как игрок, я хочу честную игру без читов клиента.","Вся логика на сервере; после каждого действия — полное состояние; рука соперника вырезана.",OK,
F71,Infra,LAN-баннер + QR,"Как хост, я хочу легко поделиться адресом.","При старте печатает IP+порт и QR-код; предупреждает, если музыка не найдена.",OK,
F72,Infra,Раздача музыки,"Как хост, я хочу, чтобы музыка играла из любой папки запуска.","Абсолютные пути от BASE_DIR; явный маршрут /static/music/<f>.",OK,§12 CLAUDE.md
F73,Infra,Префетч аватаров/фонов,"Как игрок, я не хочу ждать загрузки контента.","_prefetch грузит аватары и фоны в фоне при старте.",OK,
F74,Logic,Защита от самопоражения,"Как игрок, я не хочу случайно проиграть жертвенной картой.","Карты Савонаролы с жертвой престижа блокируются, если жертва >= текущего престижа.",FIXED,Добавлен _self_cost guard в play_card
F75,Logic,Синхрон готовности при смене Дома,"Как игрок, я хочу, чтобы статус «готов» был согласован с сервером.","Смена Дома сбрасывает isReady на клиенте (как и на сервере).",FIXED,BUG-A: рассинхрон ready при смене Дома — исправлено
F76,Redesign,Векторные ink-ассеты,"Как игрок, я хочу настоящую рукотворную геральдику, а не геометрию.","Референсы (орёл+рыцарь) векторизованы potrace в чернильный SVG (static/art/eagle.svg, knight.svg); Flask их отдаёт.",DONE,Фаза 1; пайплайн /tmp/art/*.py
F77,Redesign,Система ink draw-on,"Как игрок, я хочу, чтобы арт рисовался чернилами на глазах.","loadInkArt() кэширует SVG; inkDrawPath() анимирует stroke-dashoffset (самопрорисовка линии); .ink-reveal делает clip-wipe снизу-вверх + bloom.",DONE,Фаза 1; фильтры #inkRough/#inkBleed
F78,Redesign,Экран входа (Фаза 1),"Как игрок, я хочу величественный рукописный вход.","Орёл-герой проявляется чернилами; самопрорисованная рамка-кодекс; буквица-инициал C; каскадное появление текста/контролов.",DONE,0 JS-ошибок (Playwright)
F79,Redesign,Выбор Дома (Фаза 2),"Как игрок, я хочу иллюминированные панели Домов с гравюрными гербами.","Гербы перерисованы в гравюрном стиле; выбор = впечатывание чернильной печати.",TODO,Фаза 2
F80,Redesign,Поле боя (Фаза 3),"Как игрок, я хочу рукописное поле с плавными чернильными переходами.","Полосы игроков в ink-рамках; Колесо со статичной сердцевиной; росчерки при уроне/лечении.",TODO,Фаза 3
F81,Redesign,Карты и полировка (Фаза 4),"Как игрок, я хочу гравюрные карты с микро-анимациями.","Лицо карт, hover/play ink-эффекты, splash в синхрон со звуком, буквицы.",TODO,Фаза 4
